Time,Source IP,Destination IP,Protocol,Size
2026-03-20 01:38:30,192.168.100.117,140.82.113.21,TCP,66
2026-03-20 01:38:30,140.82.113.21,192.168.100.117,TCP,66
2026-03-20 01:38:30,192.168.100.117,140.82.113.21,TCP,54
2026-03-20 01:38:30,192.168.100.117,140.82.113.21,TCP,571
2026-03-20 01:38:31,140.82.113.21,192.168.100.117,TCP,1466
2026-03-20 01:38:31,140.82.113.21,192.168.100.117,TCP,1466
2026-03-20 01:38:31,192.168.100.117,140.82.113.21,TCP,54
2026-03-20 01:38:31,140.82.113.21,192.168.100.117,TCP,1326
2026-03-20 01:38:31,140.82.113.21,192.168.100.117,TCP,1466
2026-03-20 01:38:31,140.82.113.21,192.168.100.117,TCP,505
2026-03-20 01:38:31,192.168.100.117,140.82.113.21,TCP,54
2026-03-20 01:38:31,192.168.100.117,140.82.113.21,TCP,1466
2026-03-20 01:38:31,192.168.100.117,140.82.113.21,TCP,1466
2026-03-20 01:38:31,192.168.100.117,140.82.113.21,TCP,1466
2026-03-20 01:38:31,192.168.100.117,140.82.113.21,TCP,889
2026-03-20 01:38:31,140.82.112.26,192.168.100.117,TCP,79
2026-03-20 01:38:31,192.168.100.117,140.82.112.26,TCP,83
2026-03-20 01:38:31,140.82.113.21,192.168.100.117,TCP,212
2026-03-20 01:38:31,192.168.100.117,140.82.113.21,TCP,54
2026-03-20 01:38:31,140.82.113.21,192.168.100.117,TCP,56
2026-03-20 01:38:31,192.168.100.117,142.251.156.119,UDP,71
2026-03-20 01:38:31,192.168.100.117,142.251.157.119,UDP,71
2026-03-20 01:38:31,192.168.100.117,142.251.157.119,UDP,71
2026-03-20 01:38:31,142.251.156.119,192.168.100.117,UDP,69
2026-03-20 01:38:31,142.251.157.119,192.168.100.117,UDP,67
2026-03-20 01:38:31,192.168.100.117,140.82.112.26,TCP,83
2026-03-20 01:38:31,140.82.112.26,192.168.100.117,TCP,56
2026-03-20 01:38:31,142.251.157.119,192.168.100.117,UDP,69
2026-03-20 01:38:31,140.82.113.21,192.168.100.117,TCP,641
2026-03-20 01:38:31,140.82.113.21,192.168.100.117,TCP,78
2026-03-20 01:38:31,192.168.100.117,140.82.113.21,TCP,54
2026-03-20 01:38:31,140.82.113.21,192.168.100.117,TCP,54
2026-03-20 01:38:31,192.168.100.117,140.82.113.21,TCP,54
2026-03-20 01:38:31,192.168.100.117,140.82.113.21,TCP,78
2026-03-20 01:38:31,192.168.100.117,140.82.113.21,TCP,54
2026-03-20 01:38:32,140.82.112.26,192.168.100.117,TCP,66
2026-03-20 01:38:32,140.82.113.21,192.168.100.117,TCP,54
2026-03-20 01:38:32,140.82.113.21,192.168.100.117,TCP,54
2026-03-20 01:38:32,192.168.100.117,142.251.157.119,UDP,71
2026-03-20 01:38:32,142.251.157.119,192.168.100.117,UDP,69
2026-03-20 01:38:32,192.168.100.117,74.125.71.188,TCP,55
2026-03-20 01:38:32,74.125.71.188,192.168.100.117,TCP,66
2026-03-20 01:38:33,192.168.100.117,142.251.156.119,UDP,71
2026-03-20 01:38:33,192.168.100.117,142.251.156.119,UDP,71
2026-03-20 01:38:33,142.251.156.119,192.168.100.117,UDP,69
2026-03-20 01:38:33,142.251.156.119,192.168.100.117,UDP,69
2026-03-20 01:38:34,192.168.100.117,157.240.227.60,TCP,124
2026-03-20 01:38:34,157.240.227.60,192.168.100.117,TCP,54
2026-03-20 01:38:34,157.240.227.60,192.168.100.117,TCP,126
2026-03-20 01:38:34,192.168.100.117,157.240.227.60,TCP,54
